id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified
1,1478941975671984129,https://twitter.com/SamSmit64246628/statuses/1478941975671984129,https://twitter.com/SamSmit64246628/statuses/1478941975671984129,SamSmit64246628,"RT @bougielemon: ultimate frisbee wasn't enough to match apparently 
#MAFS","ultimate frisbee wasn't enough to match apparently 
#MAFS",2022-01-05 23:10:19,Twitter Bot 1996,0,1,en,,retweet,,0,0,bougielemon,74012282,1478939810794553344,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
2,1478941966549372930,https://twitter.com/SamSmit64246628/statuses/1478941966549372930,https://twitter.com/SamSmit64246628/statuses/1478941966549372930,SamSmit64246628,"RT @smolnoella: sign: leo ♌️
age: not comfortable sharing 🥺
pronouns: she/her
height: 5’3 😶‍🌫️
fav colour: 💙💜🖤
fav sport: ultimate frisbee…","sign: leo ♌️
age: not comfortable sharing 🥺
pronouns: she/her
height: 5’3 😶‍🌫️
fav colour: 💙💜🖤
fav sport: ultimate frisbee or soccer ⚽️
fav game: acnh &amp; stardew
crush: secret 🤫✨
tagging: @SilvanaDeLeo2 @plantaroid @yanzltheclown @alexiecrossing @pabspls 💖 https://t.co/aJxYOteL1t",2022-01-05 23:10:16,Twitter Bot 1996,0,1,en,,quote,,0,0,smolnoella,1363866139382714368,1478935544486838273,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
3,1478939810794553344,https://twitter.com/bougielemon/statuses/1478939810794553344,https://twitter.com/bougielemon/statuses/1478939810794553344,bougielemon,"ultimate frisbee wasn't enough to match apparently 
#MAFS","ultimate frisbee wasn't enough to match apparently 
#MAFS",2022-01-05 23:01:42,Twitter for Android,0,1,en,,original,,0,0,,0,0,74012282,https://pbs.twimg.com/profile_images/1466265421619908615/ufHOoVYi_normal.jpg,2326,793,53,2009-09-13 20:23:05,"black, fat & queer
happy to be here ♒","Georgia, USA",
4,1478935544486838273,https://twitter.com/smolnoella/statuses/1478935544486838273,https://twitter.com/smolnoella/statuses/1478935544486838273,smolnoella,"sign: leo ♌️
age: not comfortable sharing 🥺
pronouns: she/her
height: 5’3 😶‍🌫️
fav colour: 💙💜🖤
fav sport: ultimate frisbee or soccer ⚽️
fav game: acnh &amp; stardew
crush: secret 🤫✨
tagging: @SilvanaDeLeo2 @plantaroid @yanzltheclown @alexiecrossing @pabspls 💖 https://t.co/aJxYOteL1t","sign: leo ♌️
age: not comfortable sharing 🥺
pronouns: she/her
height: 5’3 😶‍🌫️
fav colour: 💙💜🖤
fav sport: ultimate frisbee or soccer ⚽️
fav game: acnh &amp; stardew
crush: secret 🤫✨
tagging: @SilvanaDeLeo2 @plantaroid @yanzltheclown @alexiecrossing @pabspls 💖 https://t.co/aJxYOteL1t",2022-01-05 22:44:45,Twitter Web App,3,1,en,"sign: cancer sun, pisces moon, aries rising
age: 28🤎
pronouns: she/her
height: 5’0✨
fav color: green🌿 
fav sport: hockey 
fav game: acnh &amp; stardew
crush: my girlfriend🌈
tagging: @smolnoella @softpumpkinn @isleofgems_ @cosychey  
&amp; anyone who wants I ran out of space for more https://t.co/Fgk7xEn4qI",quote,witchycrossingg,1241504028141293570,1478796423206477838,,0,0,1363866139382714368,https://pbs.twimg.com/profile_images/1477528135189082113/pCgVq7ji_normal.jpg,5471,491,567,2021-02-22 10:00:10,she-her 🥞 // bi 💙 //💐 sdv ~ acnh 🌱🍃 // resident rep. for Avalon 🌳 // mentor for @monomipark //🌾cozy n comfy // video game addict and insomniac 💤,Lost in Neverland ✨,
5,1478911768734932993,https://twitter.com/SamSmit64246628/statuses/1478911768734932993,https://twitter.com/SamSmit64246628/statuses/1478911768734932993,SamSmit64246628,"RT @northcentralpa: In 2022, according to new research from Myprotein, we can expect rising interest in fitness ideas of functional fitness…","In 2022, according to new research from Myprotein, we can expect rising interest in fitness ideas of functional fitness, social exercise, and intuitive eating; and fitness styles like boxing, mixed martial arts, ultimate frisbee, and more. #NCPA https://t.co/YjgMrMhvcD",2022-01-05 21:10:17,Twitter Bot 1996,0,1,en,,retweet,,0,0,northcentralpa,84736547,1478909190282563584,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
6,1478909190282563584,https://twitter.com/northcentralpa/statuses/1478909190282563584,https://twitter.com/northcentralpa/statuses/1478909190282563584,northcentralpa,"In 2022, according to new research from Myprotein, we can expect rising interest in fitness ideas of functional fitness, social exercise, and intuitive eating; and fitness styles like boxing, mixed martial arts, ultimate frisbee, and more. #NCPA https://t.co/YjgMrMhvcD","In 2022, according to new research from Myprotein, we can expect rising interest in fitness ideas of functional fitness, social exercise, and intuitive eating; and fitness styles like boxing, mixed martial arts, ultimate frisbee, and more. #NCPA https://t.co/YjgMrMhvcD",2022-01-05 21:00:02,BLOX CMS,0,1,en,,original,,0,0,,0,0,84736547,https://pbs.twimg.com/profile_images/1212082209303252992/yknorG9f_normal.jpg,43018,517,2256,2009-10-23 21:25:29,"News, articles and events from the Northcentral region of Pennsylvania","ÜT: 41.230596,-76.976382",
7,1478905723312558081,https://twitter.com/mushiialt/statuses/1478905723312558081,https://twitter.com/mushiialt/statuses/1478905723312558081,mushiialt,Ultimate frisbee https://t.co/DHT71lJ7ZK,Ultimate frisbee https://t.co/DHT71lJ7ZK,2022-01-05 20:46:15,Twitter for iPhone,2,0,en,77. a sport you’ve played or wanted to play?,quote,BooItsLoe,1281789431284826113,1478881115444178946,,0,0,1439699188770648067,https://pbs.twimg.com/profile_images/1478870914985086976/WCmen6eW_normal.jpg,1065,82,16,2021-09-19 17:13:38,MAIN ACCOUNT: @anonymoushi_ || sleepy man || 15,matching w @auxsyc my beloved,
8,1478897154307473411,https://twitter.com/SigO26BVelma/statuses/1478897154307473411,https://twitter.com/SigO26BVelma/statuses/1478897154307473411,SigO26BVelma,"@realPatriot_7 My previous BN OPT was one of three team sports. Rugby, ultimate football, or ultimate frisbee. Good luck. Some serious folks usually","@realPatriot_7 My previous BN OPT was one of three team sports. Rugby, ultimate football, or ultimate frisbee. Good luck. Some serious folks usually",2022-01-05 20:12:12,Twitter for iPhone,6,0,en,,reply,realPatriot_7,1307758639273443328,1478874391228334089,,0,0,1071172535545446400,https://pbs.twimg.com/profile_images/1071200387619786752/UT52TLDv_normal.jpg,28086,667,1357,2018-12-07 17:40:08,,,
9,1478880361820082183,https://twitter.com/schofeld/statuses/1478880361820082183,https://twitter.com/schofeld/statuses/1478880361820082183,schofeld,@taravancil Looks like an Ultimate Frisbee graphic? 🤔🥏,@taravancil Looks like an Ultimate Frisbee graphic? 🤔🥏,2022-01-05 19:05:29,Twitter for iPhone,0,0,en,,reply,taravancil,2540605710,1478877775436075011,,0,0,14300833,https://pbs.twimg.com/profile_images/1477329941050048512/qHu1Hty2_normal.jpg,48723,1114,1038,2008-04-04 04:13:27,"Hot under the collar, if I wore one. Luddite designer and wrangler of HTML/CSS/JS. Born at 320ppm. Trying to be a good ancestor.","Southsea, UK",
10,1478866469215744000,https://twitter.com/SamSmit64246628/statuses/1478866469215744000,https://twitter.com/SamSmit64246628/statuses/1478866469215744000,SamSmit64246628,RT @ripkb824: Halite and Mods vs Gojj and Mods Ultimate Frisbee lets make it happen @GrandmasterGojj @halite_hunter @hollywoodClutch @kyle_…,Halite and Mods vs Gojj and Mods Ultimate Frisbee lets make it happen @GrandmasterGojj @halite_hunter @hollywoodClutch @kyle_canty @Flowersjj18,2022-01-05 18:10:16,Twitter Bot 1996,0,1,en,,retweet,,0,0,ripkb824,1478627186055786496,1478856507890536454,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
