"word","freq","occurrence","anger","anticipation","disgust","joy","sadness","surprise","trust","fear","highest_possibility"
"frisbe",234,0.9867256637168141,0.003307608151370388,0.018594664253829028,0.00467000776207409,0.04174420356441202,0.00447657548790534,0.00740627148784339,3.969129781644466e-4,0,"joy"
"ultim",230,0.9911504424778761,0.0032352067838038,0.020276690606647,0.005111352766123226,0.04633236569299912,0.005074465990689796,0.00821318215755247,4.1767033690520017e-4,0,"joy"
"play",54,0.22123893805309736,3.4650501814585807e-4,7.471204371699878e-4,9.640295949031381e-5,0.0025515038937686755,7.220508951102814e-4,4.5468451341910325e-4,0,0,"joy"
"game",43,0.16371681415929204,6.645549530309921e-5,5.607942596104793e-4,1.4376532561263865e-4,0.0015011339424897767,2.3280358331173947e-4,1.7268879955446948e-4,0,0,"joy"
"sport",35,0.13274336283185842,5.438168387520293e-5,3.459831685615282e-4,2.367468843864706e-4,8.846581754798065e-4,9.787429362273067e-5,1.418970139252439e-4,0,0,"joy"
"like",32,0.13716814159292035,5.671952507816486e-5,3.012155085686711e-4,3.15582214764725e-4,9.874834027220611e-4,0,2.2293221173272612e-4,0,0,"joy"
"team",31,0.12389380530973451,1.0342757223902958e-4,2.745890772827574e-4,5.9383390893032336e-5,9.606899980260401e-4,0,6.85174307118627e-5,5.481803514332608e-5,0,"joy"
"can",15,0.061946902654867256,0,1.385798984990136e-4,5.988233676777213e-5,1.7204588176331266e-4,0,0,0,0,"joy"
"know",14,0.06637168141592921,2.823651536775152e-5,2.9976340500779257e-5,0,3.088401632708174e-4,0,7.392480522350129e-5,0,0,"joy"
"player",14,0.06637168141592921,2.8510629395382153e-5,6.006621546806614e-5,1.3051251913919048e-4,9.347115923487939e-5,0,1.4994644137344677e-4,0,0,"surprise"
"love",13,0.04424778761061947,1.9193411731978915e-5,0,0,1.6661284257023538e-4,0,0,0,0,"joy"
"make",13,0.061946902654867256,2.713679952392295e-5,1.1254988139259183e-4,6.306152445756784e-5,1.4682745685635156e-4,0,3.600887160345929e-5,0,0,"joy"
"one",13,0.061946902654867256,0,5.6706119930047754e-5,3.2098810444193326e-5,2.064801200235145e-4,9.307239975304259e-5,3.627360020969319e-5,0,0,"joy"
"see",13,0.061946902654867256,2.7408140419444568e-5,1.7077259041120799e-4,0,1.48417461258028e-4,0,3.6542250015238266e-5,0,0,"anticipation"
"start",13,0.05309734513274336,0,1.4808499409614165e-4,0,1.2779157647569567e-4,0,0,0,0,"anticipation"
